TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,"VARIATION 1 TYPE","VARIATION 1 NAME","VARIATION 1 VALUES","VARIATION 2 TYPE","VARIATION 2 NAME","VARIATION 2 VALUES",SKU
"The ancient relic box (FIGURE NOT INCLUDED)","X1 3D printed and painted 1:12 prop (FIGURE NOT INCLUDED)",10,GBP,8,"accessories,RDJ_custom_creations,toy_accessories,action_figure,6_inch_scale,3D_printed",,https://i.etsystatic.com/22049125/r/il/ea8ad2/3555009150/il_fullxfull.3555009150_12fn.jpg,,,,,,,,,,,,,,,,
"I’m soaking wet right now set painted (FIGURE NOT INCLUDED)","1:12 scale I’m soaking wet right now set painted (FIGURE NOT INCLUDED)",10,GBP,11,"RDJ_custom_creations,toy_accessories,3D_printed,accessories,custom_made,action_figure,6_inch_scale",,https://i.etsystatic.com/22049125/r/il/3a5c80/6559935961/il_fullxfull.6559935961_mrzl.jpg,https://i.etsystatic.com/22049125/r/il/36fd51/6511803556/il_fullxfull.6511803556_pkv1.jpg,,,,,,,,,,,,,,,
"1:12 scale electric arrow x2  (available in pink, yellow, green, blue, purple, red, orange) *please state which colour you would like","1x 1:12 scale 3D printed electric arrow x2  in the colour of your choice",15,GBP,2,"action_figure,toy_props,props,lightning_arrow,accessory_pack,display_piece,3D_printed,accessories,RDJ_custom_creations,6_inch_scale",,https://i.etsystatic.com/22049125/r/il/af1e1c/6292917234/il_fullxfull.6292917234_49r3.jpg,,,,,,,,,,,,,,,,
"Oni mask & jewellery lightning attack effect","3D printed and painted accessories",30,GBP,4,"toy_accessories,action_figure,6_inch_scale,3D_printed,accessories",,https://i.etsystatic.com/22049125/r/il/fd4ba3/3629389587/il_fullxfull.3629389587_kt3i.jpg,,,,,,,,,,,,,,,,
"no more insect guy trash can & Gifted school plaque","1:12 3D printed and painted no more insect guy trash can & school plaque",55,GBP,4,"toy_accessories,action_figure,3D_printed,toy_prop,accessories,RDJ_custom_creations,6_inch_scale",,https://i.etsystatic.com/22049125/r/il/537c47/3455571654/il_fullxfull.3455571654_jbqz.jpg,,,,,,,,,,,,,,,,
"Web wraps x2","x2 1:12 scale web wraps (tangible webs to ensnare your villains)",5.5,GBP,8,"tangible_effects,effects,6_inch_scale,toy_accessories,RDJ_custom_creations,accessories,action_figure",,https://i.etsystatic.com/22049125/r/il/200899/3956858561/il_fullxfull.3956858561_lyyk.jpg,https://i.etsystatic.com/22049125/r/il/915cc6/5520364528/il_fullxfull.5520364528_pfj3.jpg,https://i.etsystatic.com/22049125/r/il/2bcace/5568484999/il_fullxfull.5568484999_2r3l.jpg,,,,,,,,,,,,,,
"Green titan fist gloves  (FIGURE NOT INCLUDED)","3D printed and painted green Titan fist gloves (FIGURE NOT INCLUDED)",7.5,GBP,10,"custom_made,accessories,effects,tangible_effects,action_figure,3D_printed,RDJ_custom_creations,6_inch_scale",,https://i.etsystatic.com/22049125/r/il/017fd4/6232398574/il_fullxfull.6232398574_fmi7.jpg,https://i.etsystatic.com/22049125/r/il/3e12ed/6232399324/il_fullxfull.6232399324_roa8.jpg,,,,,,,,,,,,,,,
"1x yellow menace head (painted)","1x 3D printed and painted yellow menace head",25,GBP,2,"alternate_head,RDJ_custom_creations,3D_printed,6_inch_scale,action_figure,accessories,toy_accessories",,https://i.etsystatic.com/22049125/r/il/a1c874/3588358522/il_fullxfull.3588358522_ry5x.jpg,,,,,,,,,,,,,,,,
"Feral man x cross diorama base (painted)","1x 3D printed and painted feral man x cross diorama base (FIGURES NOT INCLUDED)",70,GBP,3,"rap,decoration,Rapper,bust,custom,miniature,toy_accessories,toy_props,props,3D_printed,mask",,https://i.etsystatic.com/22049125/r/il/943a61/6641702071/il_fullxfull.6641702071_jayg.jpg,https://i.etsystatic.com/22049125/r/il/e6f288/6641702379/il_fullxfull.6641702379_nqqv.jpg,https://i.etsystatic.com/22049125/r/il/24c198/6593585622/il_fullxfull.6593585622_bw5v.jpg,https://i.etsystatic.com/22049125/r/il/bb9746/6593585724/il_fullxfull.6593585724_njt3.jpg,,,,,,,,,,,,,
"The ruler’s throne V3 (unpainted)","3D printed 1:12 ruler’s throne V3 (unpainted)",45,GBP,5,"throne,RDJ_custom_creations,toy_accessories,accessories,6_inch_scale",,https://i.etsystatic.com/22049125/r/il/aae75b/6635843651/il_fullxfull.6635843651_34ln.jpg,https://i.etsystatic.com/22049125/r/il/6d7fe4/6587732836/il_fullxfull.6587732836_tv0w.jpg,https://i.etsystatic.com/22049125/r/il/89882d/6635843899/il_fullxfull.6635843899_8eoq.jpg,,,,,,,,,,,,,,
